CenterX_PreNear_CH0,CenterY_PreNear_CH0,CenterX_PreFar_CH0,CenterY_PreFar_CH0,CenterX_PostNear_CH0,CenterY_PostNear_CH0,CenterX_PostFar_CH0,CenterY_PostFar_CH0,BeamSize_PostCureFar_CH0,R_preX_CH0,R_preY_CH0,R_postX_CH0,R_postY_CH0,AutoFindBeam_CH0
322.7821,236.8672,321.0478,239.2563,318.88,238.952,300.5179,249.6377,11821,-1.734307,2.389006,-18.36207,10.68563,0
321.1024,242.8932,319.5052,240.8389,325.1311,243.2592,339.158,243.7056,15193,-1.597148,-2.054314,14.02686,0.446404,0
311.7176,254.8607,312.5756,253.5576,318.2796,244.762,296.0674,252.3643,14645,0.858047,-1.303157,-22.21221,7.60234,0
325.1611,247.7394,323.2065,245.0852,327.2255,245.5065,331.2052,236.2154,19780,-1.954606,-2.654272,3.979702,-9.291125,0
320.0292,235.1566,320.6129,237.7081,318.7343,237.2372,311.6136,246.4806,13986,0.583755,2.551453,-7.12073,9.243402,0
314.8464,246.515,312.1498,243.2932,324.3781,238.0677,336.6295,230.8589,21063,-2.696524,-3.221741,12.25139,-7.208775,0
321.6326,244.2608,320.4645,243.1353,323.8413,242.0045,327.5703,248.3502,16064,-1.168109,-1.125535,3.729069,6.345695,0
308.6148,250.0933,309.1198,248.3314,316.828,240.0376,303.3447,241.7513,14599,0.504998,-1.761925,-13.48331,1.713675,0
317.146,235.4647,315.9444,236.7319,320.0904,237.4456,306.4622,238.7124,17196,-1.201652,1.267213,-13.62811,1.266829,0
320.3445,237.6087,320.2016,239.9211,316.5507,240.2567,297.1519,245.2157,16712,-0.142961,2.312382,-19.39877,4.958947,0
318.8059,242.1559,318.4608,239.9453,320.7773,237.0714,320.8132,240.4947,13231,-0.345096,-2.210607,0.035895,3.423223,0
320.4748,242.4609,321.8971,240.2732,322.9354,240.0401,327.4684,238.4454,21104,1.422308,-2.187761,4.532932,-1.594734,0
319.8108,239.3685,320.5984,236.6048,324.7559,235.9689,335.3243,232.8525,22085,0.787655,-2.763723,10.56838,-3.116401,0
309.1911,250.6066,307.1757,252.097,315.1075,240.1996,288.8178,241.9966,12268,-2.01533,1.490453,-26.28964,1.796967,0
318.8888,236.0869,316.0049,238.9354,323.9068,239.1679,315.4749,249.9143,16132,-2.883929,2.848506,-8.431833,10.74635,0
319.5432,243.22,316.6703,241.747,320.7879,241.6751,318.8638,242.0502,11824,-2.872927,-1.472997,-1.924031,0.37509,0
314.559,244.5719,311.0797,246.3082,322.0103,237.772,327.5093,232.688,18520,-3.479322,1.736317,5.498978,-5.084011,0
312.721,238.6507,313.8218,238.1204,314.047,241.3594,302.1167,245.3118,18016,1.10081,-0.53028,-11.93026,3.952414,0
323.735,250.6231,324.9525,251.6797,328.4565,247.8232,342.6198,245.7435,19393,1.217569,1.056558,14.16321,-2.079628,0
314.2308,238.311,315.6098,240.5357,317.3534,240.8444,303.8002,248.3572,16687,1.378993,2.224683,-13.55318,7.51278,0
